pin,bank,pin_func,is_general_purpose,site
AH18,,VN,0,SYSMONE4_X0Y1
AG19,,VP,0,SYSMONE4_X0Y1
BF34,61,IO_T0U_N12_VRP_61,1,IOB_X0Y64
BC33,61,IO_T1U_N12_61,1,IOB_X0Y77
AT32,61,IO_T2U_N12_61,1,IOB_X0Y90
AR32,61,IO_T3U_N12_61,1,IOB_X0Y103
BF33,61,IO_L1N_T0L_N1_DBC_61,1,IOB_X0Y53
BF32,61,IO_L1P_T0L_N0_DBC_61,1,IOB_X0Y52
BE32,61,IO_L2N_T0L_N3_61,1,IOB_X0Y55
BE31,61,IO_L2P_T0L_N2_61,1,IOB_X0Y54
BF30,61,IO_L3N_T0L_N5_AD15N_61,1,IOB_X0Y57
BE30,61,IO_L3P_T0L_N4_AD15P_61,1,IOB_X0Y56
BD31,61,IO_L4N_T0U_N7_DBC_AD7N_61,1,IOB_X0Y59
BD30,61,IO_L4P_T0U_N6_DBC_AD7P_61,1,IOB_X0Y58
BE33,61,IO_L5N_T0U_N9_AD14N_61,1,IOB_X0Y61
BD33,61,IO_L5P_T0U_N8_AD14P_61,1,IOB_X0Y60
BD29,61,IO_L6N_T0U_N11_AD6N_61,1,IOB_X0Y63
BC29,61,IO_L6P_T0U_N10_AD6P_61,1,IOB_X0Y62
BC32,61,IO_L7N_T1L_N1_QBC_AD13N_61,1,IOB_X0Y66
BC31,61,IO_L7P_T1L_N0_QBC_AD13P_61,1,IOB_X0Y65
BB31,61,IO_L8N_T1L_N3_AD5N_61,1,IOB_X0Y68
BB30,61,IO_L8P_T1L_N2_AD5P_61,1,IOB_X0Y67
BB29,61,IO_L9N_T1L_N5_AD12N_61,1,IOB_X0Y70
BA29,61,IO_L9P_T1L_N4_AD12P_61,1,IOB_X0Y69
BB32,61,IO_L10N_T1U_N7_QBC_AD4N_61,1,IOB_X0Y72
BA32,61,IO_L10P_T1U_N6_QBC_AD4P_61,1,IOB_X0Y71
BA30,61,IO_L11N_T1U_N9_GC_61,1,IOB_X0Y74
AY30,61,IO_L11P_T1U_N8_GC_61,1,IOB_X0Y73
AY32,61,IO_L12N_T1U_N11_GC_61,1,IOB_X0Y76
AY31,61,IO_L12P_T1U_N10_GC_61,1,IOB_X0Y75
AW30,61,IO_L13N_T2L_N1_GC_QBC_61,1,IOB_X0Y79
AW29,61,IO_L13P_T2L_N0_GC_QBC_61,1,IOB_X0Y78
AW31,61,IO_L14N_T2L_N3_GC_61,1,IOB_X0Y81
AV31,61,IO_L14P_T2L_N2_GC_61,1,IOB_X0Y80
AV32,61,IO_L15N_T2L_N5_AD11N_61,1,IOB_X0Y83
AU32,61,IO_L15P_T2L_N4_AD11P_61,1,IOB_X0Y82
AV29,61,IO_L16N_T2U_N7_QBC_AD3N_61,1,IOB_X0Y85
AU29,61,IO_L16P_T2U_N6_QBC_AD3P_61,1,IOB_X0Y84
